source,metric,value,context,run,seed,corrupt_source,lap_n,depression_strength,strictness,hold_off,batch_size,noise_level,n_corrupt_sources
2.0,f1_score,0.9339407744874715,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
3.0,accuracy_score,0.8012948207171314,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
3.0,recall_score,0.7695749440715883,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
3.0,precision_score,0.7809307604994324,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
3.0,f1_score,0.7752112676056337,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
4.0,accuracy_score,0.5348605577689243,validation,6,64,True,25,1.0,0.8,0,64,0.5,4
4.0,recall_score,0.4365426695842451,validation,6,64,True,25,1.0,0.8,0,64,0.5,4
4.0,precision_score,0.4877750611246944,validation,6,64,True,25,1.0,0.8,0,64,0.5,4
4.0,f1_score,0.46073903002309474,validation,6,64,True,25,1.0,0.8,0,64,0.5,4
5.0,accuracy_score,0.8247011952191236,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
5.0,recall_score,0.8555452003727866,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
5.0,precision_score,0.8233183856502242,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
5.0,f1_score,0.8391224862888482,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
6.0,accuracy_score,0.8386454183266933,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
6.0,recall_score,0.8639523336643495,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
6.0,precision_score,0.8230842005676443,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
6.0,f1_score,0.8430232558139535,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
7.0,accuracy_score,0.5149402390438247,validation,6,64,True,25,1.0,0.8,0,64,0.5,4
7.0,recall_score,0.430939226519337,validation,6,64,True,25,1.0,0.8,0,64,0.5,4
7.0,precision_score,0.5679611650485437,validation,6,64,True,25,1.0,0.8,0,64,0.5,4
7.0,f1_score,0.4900523560209424,validation,6,64,True,25,1.0,0.8,0,64,0.5,4
